F11,F12,F21,F22,Sec,DRFQ_f1,DRFQ_f2,PR(STF)_f1,PR(STF)_f2,PR(WRR)_f1,PR(WRR)_f2,f1Cheat_PR(STF)_f1,f1Cheat_PR(STF)_f2,f2Cheat_PR(STF)_f1,f2Cheat_PR(STF)_f2,f1_max_cheat,f1_max_cheat,f1_max_cheat,f1_max_cheat,f2_max_cheat,f2_max_cheat,f2_max_cheat,f2_max_cheat
30,20,12,11,25,158,397,275,688,305,762,275,688,275,688,30,1,12,11,30,20,12,1
30,25,29,23,45,386,399,483,500,705,730,483,500,483,500,30,1,29,23,30,25,29,1
30,29,24,22,40,353,441,441,552,576,719,441,552,441,552,30,1,24,22,30,29,24,1
4,21,25,10,23,351,294,455,515,393,446,635,335,389,581,13,21,25,10,4,21,25,14
4,23,14,30,32,564,433,563,432,627,481,564,431,563,432,1,23,14,30,4,23,1,30
6,18,27,13,23,361,241,518,443,468,401,666,295,461,500,12,18,27,13,6,18,27,16
6,19,25,18,22,343,261,469,494,480,507,602,361,426,537,15,19,25,18,6,19,25,15
6,30,27,16,34,367,408,341,640,409,767,544,437,328,653,21,30,27,16,6,30,27,15
6,4,4,10,13,565,339,707,283,984,393,706,284,566,424,6,4,4,10,6,4,8,10
6,7,12,23,27,743,226,739,224,1162,353,739,224,717,246,1,7,12,23,6,7,16,23
7,2,26,10,24,781,210,728,195,845,227,728,195,728,195,7,1,26,10,7,2,26,1
7,30,6,16,26,342,643,317,595,409,767,317,595,317,595,1,30,6,16,7,30,1,16
7,9,10,29,30,745,231,692,214,1314,408,692,214,692,214,1,9,10,29,7,9,1,29
7,9,17,8,30,479,254,703,289,1311,540,733,259,610,382,6,9,17,8,7,9,17,14
8,1,13,2,15,260,160,610,375,765,471,610,375,610,375,8,1,13,2,8,1,13,1
8,21,9,6,21,206,481,167,586,424,1483,271,482,168,585,16,21,9,6,8,21,9,6
8,27,12,10,26,300,675,238,643,427,1155,300,581,185,696,23,27,12,10,8,27,12,7
9,20,13,10,28,363,558,323,645,536,1073,425,543,302,666,16,20,13,10,9,20,13,9
9,9,5,4,10,210,378,353,635,424,763,380,608,353,635,8,9,5,4,9,9,5,1
,,,,,383.7378641,415.2135922,466.1456311,499.0097087,600.631068,636.9223301,511.4563107,453.6893204,427.0485437,538.1165049,,,,,,,,
