Number of flows,cheat,cheated
5,0.12280852376341676,-0.08600343412536836
6,-0.05428454726722374,-0.05049819890547536
7,0.050391327879407345,0.07444073470389259
8,0.25589691430628125,-0.055105745047760966
9,0.011416800985351094,-0.006126204507846189
10,-0.01233444593916471,0.04735201536088951
11,0.13055228427785037,-0.15072697319802122
12,0.044826440445785654,-0.009226549873937092
13,0.04796551379263395,0.15879168060852125
14,0.1662055582919854,0.02295140107866196
15,-0.011550789648856818,0.014695109495500902
16,0.007286179846217335,-0.004867277744680213
17,0.0015262334657465187,-0.00539405116781669
18,0.006988637979754814,0.025471364715273767
19,0.06817621851715262,-0.035333411782812345
20,-0.005602634360020752,0.0189256011991046
21,0.10740397660805942,0.03083312284180083
22,0.16113038719807424,-0.10372450945482109
23,-0.016993345757602914,0.03649360806700288
24,0.01877048895634369,-0.010082252503668638
25,0.02788810064265651,0.011725800889719955
26,0.015333162850643511,0.00841481107470782
27,-0.008000597955843668,0.00315996897416712
28,-0.0016827536681456648,-0.04527683675140685
29,0.11238136379386986,0.013801759337383222
30,0.05851170443766891,-0.03254200226818899
2,-0.0006990562740300594,0.0009350163627863488
3,-0.0008,0.00022301516503122213
4,-0.0007194244604316547,0.0002635740643120717
5,0.03347197464844524,-0.008389452802579628
6,0.37756686847893656,0.10565139083470125
7,-0.010772007649447154,0.053441605780835885
8,-0.08964867013540109,0.013618849186054424
9,-0.014562155949625798,0.0014293056931721244
10,0.05661659689370439,-0.026012659811191136
11,-0.11598800420180419,0.0738331430278811
12,0.12344987185608053,-0.04575675708481466
13,-0.009429836378162684,-0.00675864103276448
14,-0.05809923302068224,0.045976834640185094
15,0.025816527214233807,0.014421632121948648
16,-0.026194365362198477,-0.05558470790078614
17,-0.009966633923607296,0.05805875959452738
18,-0.004756186776820669,-0.007348650895774659
19,0.034304333125621166,0.004853087880390458
20,0.0433081295511413,-0.041543951973994804
21,-0.012066657860670151,0.011883083732312495
22,0.01610643901313746,-0.025808636311935453
23,0.04991576020245883,-0.0066820809489840744
24,-0.004232865206716583,-0.005796991341594855
25,0.0065686898343945066,-0.00047557182467783345
26,0.016197680531745324,-0.017283134013717776
27,0.31905646373697427,0.26157802598593133
28,-0.03533428123235776,0.015174211227011248
29,0.05769707173855737,-0.031149722919965407
30,0.002504562599517657,-0.005402958913133858
2,0.0,0.0
3,0.0,0.0
4,-0.2737099856665074,-0.0451665706750735
5,0.2774779836572168,0.02029735229207778
6,-0.1424148800417948,0.05625939939582991
7,0.011112576296475376,-0.007569196367406668
8,0.10402178712775659,-0.12185247398131302
9,-0.06883114311057086,0.027705477085411677
10,-0.1199436688656704,0.05702812689790933
11,-0.01993821822870708,-0.09386347547935359
12,0.20014083856749942,-0.029888484606572254
13,0.08528418147904027,-0.02263639454845764
14,0.09703137568497011,-0.044811149963394255
15,0.00303523824076747,-0.009696655892153091
16,-0.013088405292301118,0.02001298100675107
17,0.24686252879192438,-0.15616344641866353
18,0.03938653648496371,-0.015832958641539892
19,0.008201817472476388,-0.007732757477523122
20,-0.008980614796839873,-0.014287587162874354
21,0.05310488463412165,-0.007705939474023476
22,0.00409982705433434,0.003542406338515995
23,-0.027189122560713628,0.03567072790908197
24,0.05352951600855451,-0.013382594417908423
25,0.03890836177200394,-0.00975170233524263
26,0.0015719725801651744,-0.003535110727778648
27,0.006407327259049766,-0.00567175019262413
28,0.046100997104719266,0.009456232529497717
29,0.04459371027053768,-0.005403047101305745
30,-0.004207037091069456,-0.017980213703818762
2,-0.01675977653631285,0.021993448759943846
3,0.006477732793522267,-0.008135168961201502
4,0.0028213317847464187,-0.0005280043232224426
5,0.0017809439002671415,-0.000632390619036624
6,-0.012284537500857846,0.010722237460447549
7,-0.05330182787239429,0.01146949226011432
8,-0.0006716252179644715,0.03635204081632653
9,0.004495685822779481,0.03276017636761196
10,-0.01386049428089676,0.009955409965347916
11,0.010964434867534605,0.004174279969950932
12,0.03206300554960799,0.00019927705871404435
13,0.11354529519111174,-0.14486517722979494
14,0.010028373162219604,-0.0028185922254734884
15,0.0025752639901492525,-0.012932029420017898
16,0.06509516296857958,0.021661900832344504
